business_id,avg_score,categories,name,state,working_hours,city,address
cVBxfMC4lp3DnocjYA3FHQ,5.0,"['Coffee & Tea', ' Cafes', ' Pets', ' Restaurants', ' Pet Adoption', ' Food']",Paws The Cat Cafe,AB,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",Edmonton,10588 109 Street
dEiU3tt70NKYJaXoQq-L5w,5.0,"['Shoe Repair', ' Local Services']",Expert Shoe Clinic,AB,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '11:0-15:0'}",Edmonton,10020 - 103 Avenue
-AnhOOC-KXKNUT-ksYY9sw,5.0,"['Makeup Artists', ' Blow Dry/Out Services', ' Hair Salons', ' Beauty & Spas', ' Cosmetics & Beauty Supply', ' Shopping', ' Eyelash Service']",Crème de la Crème,AB,"{'Monday': '12:0-18:0', 'Tuesday': '12:0-18:0', 'Wednesday': '12:0-18:0', 'Thursday': '12:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0'}",Sherwood Park,"150 Chippewa Road, Unit 182"
sU0eYd56_QArBBBlULxQaQ,5.0,"['Pets', ' Breakfast & Brunch', ' Veterinarians', ' Restaurants']",Mayfield Veterinary Hospital,AB,,Edmonton,16808 106 Avenue NW
-4qjiD8Rk5yNDHM6H06A2Q,5.0,"['Local Services', ' Septic Services', ' Plumbing', ' Heating & Air Conditioning/HVAC', ' Water Heater Installation/Repair', ' Home Services']",Little Plumber Girl,AB,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",Edmonton,10411 45th Street NW
lck-EHpJkPWQyUpuCBcVdw,5.0,"['Historical Tours', ' Tours', ' Walking Tours', ' Hotels & Travel', ' Art Tours']",Edmonton Ghost Tours,AB,,Edmonton,
MrD02BxNjCKenZT5CJ-xiQ,5.0,"['Massage', ' Beauty & Spas', ' Day Spas']",Heaven Essence Day Spa,AB,"{'Tuesday': '9:30-20:0', 'Wednesday': '9:30-20:0', 'Thursday': '9:30-20:0', 'Friday': '9:30-20:0', 'Saturday': '9:30-16:30'}",St Albert,"15 Circle Drive, Suite 123"
VqqDJmyKRKwo5e26JxLCrw,5.0,"['Hair Salons', ' Barbers', ' Beauty & Spas']",High Park Barber & Salon,AB,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0'}",Edmonton,10913 156 Street
whzkbvSdu3-Muk2Vcr_V-g,5.0,"['Automotive', ' Auto Glass Services', ' Windshield Installation & Repair']",Champion Auto Glass,AB,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '9:0-13:0'}",Edmonton,12003 149 Street NW
2pND51XvUbWrvUa4gcCr2A,5.0,"['Veterinarians', ' Pets']",Whitemud Crossing Animal Hospital,AB,"{'Monday': '8:30-18:0', 'Tuesday': '8:30-18:0', 'Wednesday': '8:30-18:0', 'Thursday': '8:30-18:0', 'Friday': '8:30-18:0', 'Saturday': '9:0-16:0', 'Sunday': '9:0-17:0'}",Edmonton,"4211 106 Street NW, Suite110"
E-nhxuu3zbt02oCj_1AFng,5.0,"['Waxing', ' Hair Removal', ' Skin Care', ' Eyelash Service', ' Beauty & Spas']",Selah,AZ,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}",Tucson,"510 N 7th Ave, Ste 130"
FJDvhCGIwKuohPOK7JfLuA,5.0,"['Home Services', ' Keys & Locksmiths']",Key One,AZ,"{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0'}",Tucson,
Jov0PmO5g5lXGQyPiEZyXw,5.0,"['Shopping', ' Furniture Stores', ' Antiques', ' Home & Garden']",Colonial Frontiers,AZ,"{'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-16:0'}",Tucson,244 S Park Ave
adATTqggIQX5xxLDISkFTw,5.0,"['Food Trucks', ' Restaurants', ' Caterers', ' Event Planning & Services', ' Food', ' Mexican', ' Spanish', ' Desserts']",Just Churros,AZ,"{'Monday': '0:0-0:0', 'Friday': '15:0-21:0', 'Saturday': '15:0-21:0'}",Tucson,
