movieId,avg_score,name,categories,working_hours,city
5537,5.0,Satin Rouge,Drama,Red Satin also known as Satin Rouge (French: Satin rouge) is a 2002 Tunisian Arabic-language women oriented drama film written and directed by Raja Amari on her feature film directorial debut. The film stars Israeli actress Hiam Abbass and Hend El Fahem in the lead roles. It reveals the story of a widow woman who radically transforms from a housewife to a seductive caberet dancer. The film had its theatrical release on 24 April 2002 and opened to mixed reviews. The film received several awards and nominations at International Film Festivals.,2002
136850,5.0,Villain,Crime,"A village is a clustered human settlement or community, larger than a hamlet but smaller than a town (although the word is often used to describe both hamlets and smaller towns), with a population ranging from a few hundred to a few thousand. Though villages are often located in rural areas, the term urban village is also applied to certain urban neighborhoods. Villages are normally permanent, with fixed dwellings; however, transient villages can occur. Further, the dwellings of a village are fairly close to one another, not scattered broadly over the landscape, as a dispersed settlement.",1971
136556,5.0,Kung Fu Panda: Secrets of the Masters,Children,"Kung Fu Panda: Secrets of the Masters is a 2011 animated short film from DreamWorks Animation. It was released on December 13, 2011 as a special feature attached to the Kung Fu Panda 2 DVD and Blu-ray. The short consists mostly of a traditional animation (17 minutes), which was created by Duncan Studio. It uncovers the backgrounds of the masters of Gongmen City: Master Thundering Rhino, Master Storming Ox, and Master Croc.",2011
136556,5.0,Kung Fu Panda: Secrets of the Masters,Animation,"Kung Fu Panda: Secrets of the Masters is a 2011 animated short film from DreamWorks Animation. It was released on December 13, 2011 as a special feature attached to the Kung Fu Panda 2 DVD and Blu-ray. The short consists mostly of a traditional animation (17 minutes), which was created by Duncan Studio. It uncovers the backgrounds of the masters of Gongmen City: Master Thundering Rhino, Master Storming Ox, and Master Croc.",2011
6021,5.0,"American Friend, The (Amerikanische Freund, Der)",Crime,"The American Friend (German: Der amerikanische Freund) is a 1977 neo-noir film by Wim Wenders, adapted from the novel Ripley's Game by Patricia Highsmith. The film features Dennis Hopper as career criminal Tom Ripley and Bruno Ganz as Jonathan Zimmermann, a terminally ill picture framer whom Ripley coerces into becoming an assassin. The film uses an unusual, ""natural"" language concept, meaning that Zimmermann speaks German with his family and his doctor, but English with Ripley and whilst visiting Paris.",1977
136503,5.0,Tom and Jerry: Shiver Me Whiskers,Comedy,"Tom and Jerry: Shiver Me Whiskers is a 2006 animated swashbuckler adventure comedy film starring the seven-time Academy Award-winning cat-and-mouse duo Tom and Jerry. Produced by Warner Bros. Animation and Turner Entertainment Co., it was the fourth made-for-video attempt to recapture the style of William Hanna and Joseph Barbera's original film shorts from Metro-Goldwyn-Mayer. Directed by Scott Jeralds and written by Christopher Painter, the film was released on DVD on August 22, 2006 and served as the pilot for the television series Tom and Jerry Tales, which premiered the following month.",2006
136503,5.0,Tom and Jerry: Shiver Me Whiskers,Children,"Tom and Jerry: Shiver Me Whiskers is a 2006 animated swashbuckler adventure comedy film starring the seven-time Academy Award-winning cat-and-mouse duo Tom and Jerry. Produced by Warner Bros. Animation and Turner Entertainment Co., it was the fourth made-for-video attempt to recapture the style of William Hanna and Joseph Barbera's original film shorts from Metro-Goldwyn-Mayer. Directed by Scott Jeralds and written by Christopher Painter, the film was released on DVD on August 22, 2006 and served as the pilot for the television series Tom and Jerry Tales, which premiered the following month.",2006
136503,5.0,Tom and Jerry: Shiver Me Whiskers,Animation,"Tom and Jerry: Shiver Me Whiskers is a 2006 animated swashbuckler adventure comedy film starring the seven-time Academy Award-winning cat-and-mouse duo Tom and Jerry. Produced by Warner Bros. Animation and Turner Entertainment Co., it was the fourth made-for-video attempt to recapture the style of William Hanna and Joseph Barbera's original film shorts from Metro-Goldwyn-Mayer. Directed by Scott Jeralds and written by Christopher Painter, the film was released on DVD on August 22, 2006 and served as the pilot for the television series Tom and Jerry Tales, which premiered the following month.",2006
136469,5.0,Larry David: Curb Your Enthusiasm,Comedy,"The HBO comedy television series Curb Your Enthusiasm premiered with an hour-long special on October 17, 1999. It was followed by a ten-episode first season that began airing on HBO on October 15, 2000. The show's tenth season premiered on January 19, 2020. As of February 23, 2020, 96 episodes of Curb Your Enthusiasm have aired.",1999
136447,5.0,George Carlin: You Are All Diseased,Comedy,"Insects or Insecta (from Latin insectum) are hexapod invertebrates and the largest group within the arthropod phylum. Definitions and circumscriptions vary; usually, insects comprise a class within the Arthropoda. As used here, the term Insecta is synonymous with Ectognatha. Insects have a chitinous exoskeleton, a three-part body (head, thorax and abdomen), three pairs of jointed legs, compound eyes and one pair of antennae. Insects are the most diverse group of animals; they include more than a million described species and represent more than half of all known living organisms. The total number of extant species is estimated at between six and ten million; potentially over 90% of the animal life forms on Earth are insects. Insects may be found in nearly all environments, although only a",1999
